"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1, C6, C7, C8, C9, C10, C11, C12, C13, C19, C20, C21";"CAP_R463N347000N0M_KEM";12;"C";;;
2;"C4";"C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal";1;"C";;;
3;"C5, C14";"CP_Radial_D8.0mm_P3.50mm";2;"C";;;
4;"C15, C16, C17, C18";"C_1808_4520Metric_Pad1.72x2.30mm_HandSolder";4;"C";;;
5;"D1";"LED_D5.0mm_FlatTop";1;"LED";;;
6;"D2, D3";"P1_DO-41";2;"Diode";;;
7;"D8";"Diode_Bridge_DIGITRON_KBPC_T";1;"KBPC2504W";;;
8;"D9, D10, D11, D12";"P1_DO-41";4;"ZY20";;;
9;"F1";"Fuse_Littelfuse-LVR100";1;"Fuse";;;
10;"IC1";"TO-247AC_VIS";1;"irfp264fpb";;;
11;"IC2, IC3";"TO-247AC_VIS";2;"IRFP264PBF";;;
12;"IC4";"TO-247AC_VIS";1;"~";;;
13;"J1";"TE_826576-6_1x06_P3.96mm_Vertical";1;"Conn_01x06_Pin";;;
14;"J2, J3";"TE_282841-2";2;"282841-2";;;
15;"R1, R6, R7, R8";"RES_ROX3S_TYCO_TYC";4;"ROX3SJ47K";;;
16;"R2, R3, R4, R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"10R";;;
17;"R9";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"11K";;;
18;"R10, R11";"C_Axial_L5.1mm_D3.1mm_P12.50mm_Horizontal";2;"10R";;;
19;"RV1";"VRES_B77214_EPC";1;"Varistor";;;
20;"U1";"Converter_ACDC_MeanWell_IRM-20-xx_THT";1;"IRM-20-12";;;
21;"U5, U6";"SOIC127P1030X265-16N";2;"IR2110SPBF";;;
